space,ID,sdg_type,raw_material,layer,exp_type,D2,p_emp,p_chisq
MFA,SDG_L2_489,Bifacial_adjacent,chert,2,Bidirectional,8.69031733969264,0.5,0.7291290600918394
MFA,SDG_L2_489,Bifacial_adjacent,chert,2,Levallois,7.252133541066368,0.8095238095238095,0.840511564132085
MFA,SDG_L2_489,Bifacial_adjacent,chert,2,Discoid,11.539965327695374,0.6,0.4832956409904322
MFA,SDG_L2_489,Bifacial_adjacent,chert,2,Multiplatform,6.080859495789722,0.9,0.9119511754860233
MFA,SDG_L2_494,Unifacial_unidirection,chert,2,Unidirectional,2.859948891265404,0.9375,0.9964545998607424
MFA,SDG_L2_494,Unifacial_unidirection,chert,2,Bidirectional,14.258827501187126,0,0.2844863574170847
MFA,SDG_L2_494,Unifacial_unidirection,chert,2,Levallois,6.658339755197452,0.9047619047619048,0.8793418073364584
MFA,SDG_L2_494,Unifacial_unidirection,chert,2,Discoid,11.920968147114824,0.6,0.452047529434893
MFA,SDG_L2_494,Unifacial_unidirection,chert,2,Multiplatform,8.5097142651711,0.8,0.7441381538760197
MFA,SDG_L3_1066,Unifacial_centripetal,chert,3,Unidirectional,9.015642150256587,0.5625,0.7015938078417503
MFA,SDG_L3_1066,Unifacial_centripetal,chert,3,Bidirectional,28.952580243645855,0,0.004004361731345596
MFA,SDG_L3_1066,Unifacial_centripetal,chert,3,Levallois,8.284404307500601,0.7142857142857143,0.7625289376668246
MFA,SDG_L3_1066,Unifacial_centripetal,chert,3,Discoid,26.65048903137607,0,0.008673415811895005
MFA,SDG_L3_1066,Unifacial_centripetal,chert,3,Multiplatform,17.117426298767267,0,0.1452332633925368
MFA,SDG_L3_1163,Multifacial,sandstone,3,Unidirectional,7.770169259158279,0.625,0.8028231087722422
MFA,SDG_L3_1163,Multifacial,sandstone,3,Bidirectional,19.658846127172534,0,0.07382096205533956
MFA,SDG_L3_1163,Multifacial,sandstone,3,Levallois,13.53681391292681,0.23809523809523808,0.3312582924311722
MFA,SDG_L3_1163,Multifacial,sandstone,3,Discoid,15.47773933155599,0.4,0.21634370996586996
MFA,SDG_L3_1163,Multifacial,sandstone,3,Multiplatform,12.116355912716315,0.4,0.4363807972477717
MFA,SDG_L3_1191,Unifacial_centripetal,chert,3,Unidirectional,10.612785395595221,0.4375,0.562361551956985
MFA,SDG_L3_1191,Unifacial_centripetal,chert,3,Bidirectional,21.591610048928878,0,0.04236007371508829
MFA,SDG_L3_1191,Unifacial_centripetal,chert,3,Levallois,7.026846708362593,0.8095238095238095,0.8558343159558657
MFA,SDG_L3_1191,Unifacial_centripetal,chert,3,Discoid,24.016795685926734,0,0.020234297217353123
MFA,SDG_L3_1191,Unifacial_centripetal,chert,3,Multiplatform,16.83540549426007,0,0.1558944089504832
MFA,SDG_L3_1416,Unifacial_centripetal,chert,3,Unidirectional,21.213490342713577,0.0625,0.047340268240710796
MFA,SDG_L3_1416,Unifacial_centripetal,chert,3,Bidirectional,40.447680805858546,0,6.058406739757151e-5
MFA,SDG_L3_1416,Unifacial_centripetal,chert,3,Levallois,14.937930993420748,0.09523809523809523,0.24484840615777168
MFA,SDG_L3_1416,Unifacial_centripetal,chert,3,Discoid,35.33023290869748,0,4.1482099796095724e-4
MFA,SDG_L3_1416,Unifacial_centripetal,chert,3,Multiplatform,25.322505493070356,0,0.013366421372462018
MFA,SDG_L3_1437,Multifacial,chert,3,Unidirectional,17.176885735606877,0.0625,0.1430637409855534
MFA,SDG_L3_1437,Multifacial,chert,3,Bidirectional,19.772998877420445,0,0.07150376066881252
MFA,SDG_L3_1437,Multifacial,chert,3,Levallois,14.106530954423455,0.19047619047619047,0.29395721416232656
MFA,SDG_L3_1437,Multifacial,chert,3,Discoid,11.44059645598005,0.6,0.4915837138027979
MFA,SDG_L3_1437,Multifacial,chert,3,Multiplatform,5.548877532353671,0.9,0.937096584219417
MFA,SDG_L3_1492,Unifacial_centripetal,chert,3,Unidirectional,13.811253136545107,0.1875,0.3129234298562693
MFA,SDG_L3_1492,Unifacial_centripetal,chert,3,Bidirectional,28.688846649123953,0,0.004381166215559596
MFA,SDG_L3_1492,Unifacial_centripetal,chert,3,Levallois,9.369903055906184,0.6666666666666666,0.6710530783770631
MFA,SDG_L3_1492,Unifacial_centripetal,chert,3,Discoid,29.135187306423266,0,0.00376187283864575
MFA,SDG_L3_1492,Unifacial_centripetal,chert,3,Multiplatform,20.52162808971886,0,0.057839833458838544
MFA,SDG_L3_1547,Bifacial_adjacent,sandstone,3,Unidirectional,7.832861682865795,0.625,0.7980514792164847
MFA,SDG_L3_1547,Bifacial_adjacent,sandstone,3,Bidirectional,9.736306911889766,0.5,0.6390818432876716
MFA,SDG_L3_1547,Bifacial_adjacent,sandstone,3,Levallois,8.059083550489433,0.7142857142857143,0.780496319218831
MFA,SDG_L3_1547,Bifacial_adjacent,sandstone,3,Discoid,13.720226572412006,0.6,0.31892978683022166
MFA,SDG_L3_1547,Bifacial_adjacent,sandstone,3,Multiplatform,10.179191851982782,0.5,0.6002436617587564
MFA,SDG_L3_155,Multifacial,chert,3,Unidirectional,17.522279208861942,0.0625,0.13098434961005462
MFA,SDG_L3_155,Multifacial,chert,3,Bidirectional,17.13569860691176,0,0.14456369093899893
MFA,SDG_L3_155,Multifacial,chert,3,Levallois,14.612869766754105,0.09523809523809523,0.26329299355290137
MFA,SDG_L3_155,Multifacial,chert,3,Discoid,21.83945598181609,0,0.03935901800850148
MFA,SDG_L3_155,Multifacial,chert,3,Multiplatform,16.60588482789711,0,0.1650335465257429
MFA,SDG_L3_1677,Unifacial_unidirection,chert,3,Unidirectional,16.502588829662127,0.0625,0.1692852727064559
MFA,SDG_L3_1677,Unifacial_unidirection,chert,3,Bidirectional,37.474262309696456,0,1.8708780680411547e-4
MFA,SDG_L3_1677,Unifacial_unidirection,chert,3,Levallois,14.975779843217255,0.09523809523809523,0.2427636599682
MFA,SDG_L3_1677,Unifacial_unidirection,chert,3,Discoid,34.27831314472809,0,6.096209293871941e-4
MFA,SDG_L3_1677,Unifacial_unidirection,chert,3,Multiplatform,27.230991929986818,0,0.007156561383769358
MFA,SDG_L3_1748,Bifacial_adjacent,sandstone,3,Unidirectional,8.141073383572333,0.625,0.7740110557448024
MFA,SDG_L3_1748,Bifacial_adjacent,sandstone,3,Bidirectional,22.998550862149308,0,0.027738247430239595
MFA,SDG_L3_1748,Bifacial_adjacent,sandstone,3,Levallois,9.325891838442852,0.6666666666666666,0.6748716395847388
MFA,SDG_L3_1748,Bifacial_adjacent,sandstone,3,Discoid,22.252793933915306,0,0.034782353415812886
MFA,SDG_L3_1748,Bifacial_adjacent,sandstone,3,Multiplatform,14.479827850904622,0.3,0.2711218440609013
MFA,SDG_L3_188,Unifacial_unidirection,chert,3,Unidirectional,32.54306312886176,0,0.0011402718086203417
MFA,SDG_L3_188,Unifacial_unidirection,chert,3,Bidirectional,58.30199109616826,0,4.5951446599281503e-8
MFA,SDG_L3_188,Unifacial_unidirection,chert,3,Levallois,36.16535454457097,0,3.0474669247653146e-4
MFA,SDG_L3_188,Unifacial_unidirection,chert,3,Discoid,62.45301033044855,0,8.031989265539151e-9
MFA,SDG_L3_188,Unifacial_unidirection,chert,3,Multiplatform,45.640822183929444,0,7.999571906443126e-6
MFA,SDG_L3_303,Bifacial_independent,chert,3,Unidirectional,18.33267637658991,0.0625,0.10595636443938791
MFA,SDG_L3_303,Bifacial_independent,chert,3,Bidirectional,6.747776366347834,0.8333333333333334,0.8738215273685315
MFA,SDG_L3_303,Bifacial_independent,chert,3,Levallois,20.149730382738934,0,0.06430605231047447
MFA,SDG_L3_303,Bifacial_independent,chert,3,Discoid,15.163892139895406,0.4,0.2325958058466728
MFA,SDG_L3_303,Bifacial_independent,chert,3,Multiplatform,20.05812014276859,0,0.06599448174327828
MFA,SDG_L3_434,Bifacial_adjacent,chert,3,Unidirectional,18.717530212261728,0.0625,0.09557712463524641
MFA,SDG_L3_434,Bifacial_adjacent,chert,3,Bidirectional,19.83358967782601,0,0.0703000969110405
MFA,SDG_L3_434,Bifacial_adjacent,chert,3,Levallois,10.342287501318266,0.5238095238095238,0.5859593141587762
MFA,SDG_L3_434,Bifacial_adjacent,chert,3,Discoid,20.923764359570374,0,0.05150801021403044
MFA,SDG_L3_434,Bifacial_adjacent,chert,3,Multiplatform,15.796087082779293,0,0.20075517853675592
MFA,SDG_L3_55,Unifacial_unidirection,chert,3,Unidirectional,5.66689925922843,0.75,0.9319341011377936
MFA,SDG_L3_55,Unifacial_unidirection,chert,3,Bidirectional,17.871781789881982,0,0.11963949208280433
MFA,SDG_L3_55,Unifacial_unidirection,chert,3,Levallois,11.469890973688011,0.5238095238095238,0.489134810126231
MFA,SDG_L3_55,Unifacial_unidirection,chert,3,Discoid,15.07829154590733,0.4,0.23718280693396193
MFA,SDG_L3_55,Unifacial_unidirection,chert,3,Multiplatform,13.79494460714157,0.3,0.31399404086222055
MFA,SDG_L3_645,Unifacial_unidirection,chert,3,Unidirectional,8.916698235840999,0.5625,0.7100285771787601
MFA,SDG_L3_645,Unifacial_unidirection,chert,3,Bidirectional,22.00002737648543,0,0.0375195072781904
MFA,SDG_L3_645,Unifacial_unidirection,chert,3,Levallois,10.343039895021708,0.5238095238095238,0.585893493069864
MFA,SDG_L3_645,Unifacial_unidirection,chert,3,Discoid,17.820453561123376,0.2,0.12125191944739508
MFA,SDG_L3_645,Unifacial_unidirection,chert,3,Multiplatform,11.306564567034627,0.5,0.5028447911593078
MFA,SDG_L3_804,Core_on_flake,chert,3,Unidirectional,6.51769305990281,0.6875,0.8877742782895116
MFA,SDG_L3_804,Core_on_flake,chert,3,Bidirectional,10.422702298769273,0.3333333333333333,0.5789294347536316
MFA,SDG_L3_804,Core_on_flake,chert,3,Levallois,13.958377056927889,0.19047619047619047,0.30337414630136844
MFA,SDG_L3_804,Core_on_flake,chert,3,Discoid,12.631512828477298,0.6,0.3963827332542313
MFA,SDG_L3_804,Core_on_flake,chert,3,Multiplatform,15.710319325057458,0,0.20486709569389414
MFA,SDG_L3_890,Bifacial_adjacent,chert,3,Unidirectional,10.01205612535315,0.4375,0.6149029278108105
MFA,SDG_L3_890,Bifacial_adjacent,chert,3,Bidirectional,20.79989694618863,0,0.05338855891764117
MFA,SDG_L3_890,Bifacial_adjacent,chert,3,Levallois,5.351290391763371,1,0.9452052033369341
MFA,SDG_L3_890,Bifacial_adjacent,chert,3,Discoid,20.21225282115575,0,0.06317588125100883
MFA,SDG_L3_890,Bifacial_adjacent,chert,3,Multiplatform,14.233700383972502,0.3,0.2860342807280024
MFA,SDG_L3_978,Unifacial_centripetal,chert,3,Unidirectional,30.25458611531897,0,0.0025561967018950136
MFA,SDG_L3_978,Unifacial_centripetal,chert,3,Bidirectional,32.632503051012115,0,0.001104370209342029
MFA,SDG_L3_978,Unifacial_centripetal,chert,3,Levallois,24.32606857031033,0,0.01835987833685845
MFA,SDG_L3_978,Unifacial_centripetal,chert,3,Discoid,27.43064147700443,0,0.006695852705775712
MFA,SDG_L3_978,Unifacial_centripetal,chert,3,Multiplatform,24.92863354174332,0,0.015164701608976393
MFA,SDG_L4_1788,Multifacial,sandstone,4,Unidirectional,11.905197231254297,0.4375,0.453323155278349
MFA,SDG_L4_1788,Multifacial,sandstone,4,Bidirectional,23.79599025324285,0,0.021679998083985266
MFA,SDG_L4_1788,Multifacial,sandstone,4,Levallois,12.753644862595594,0.3333333333333333,0.3871982674339461
MFA,SDG_L4_1788,Multifacial,sandstone,4,Discoid,23.51031634664788,0,0.023693014927709602
MFA,SDG_L4_1788,Multifacial,sandstone,4,Multiplatform,22.29521692774748,0,0.03434129611059959
MFA,SDG_L4_1884,Unifacial_centripetal,chert,4,Unidirectional,11.397919814295653,0.4375,0.49515937971537854
MFA,SDG_L4_1884,Unifacial_centripetal,chert,4,Bidirectional,26.22149467261053,0,0.009985203786132789
MFA,SDG_L4_1884,Unifacial_centripetal,chert,4,Levallois,6.848730038607638,0.8571428571428571,0.8674460027133932
MFA,SDG_L4_1884,Unifacial_centripetal,chert,4,Discoid,21.394268032136363,0,0.044896648729442136
MFA,SDG_L4_1884,Unifacial_centripetal,chert,4,Multiplatform,12.620403077110925,0.3,0.3972240757653493
MFA,SDG_L4_1916,Multifacial,sandstone,4,Unidirectional,27.101127391797906,0.0625,0.007472247948127791
MFA,SDG_L4_1916,Multifacial,sandstone,4,Bidirectional,27.829738715942266,0,0.005858146444177895
MFA,SDG_L4_1916,Multifacial,sandstone,4,Levallois,35.48124877071169,0,3.9239135740792256e-4
MFA,SDG_L4_1916,Multifacial,sandstone,4,Discoid,29.654918163655825,0,0.0031463595402973013
MFA,SDG_L4_1916,Multifacial,sandstone,4,Multiplatform,27.658714945432333,0,0.0062041071429542
MFA,SDG_L4_1951,Unifacial_centripetal,chert,4,Unidirectional,9.215097563655048,0.5625,0.6844567191704265
MFA,SDG_L4_1951,Unifacial_centripetal,chert,4,Bidirectional,29.39779219716858,0,0.0034376936178325615
MFA,SDG_L4_1951,Unifacial_centripetal,chert,4,Levallois,7.817836756691945,0.7619047619047619,0.7991988836362743
MFA,SDG_L4_1951,Unifacial_centripetal,chert,4,Discoid,26.105813694363803,0,0.010369838742424949
MFA,SDG_L4_1951,Unifacial_centripetal,chert,4,Multiplatform,19.02846618896141,0,0.08784378891341726
MFA,SDG_L4_2001,Core_on_flake,chert,4,Unidirectional,7.283990852749817,0.6875,0.8382897877921954
MFA,SDG_L4_2001,Core_on_flake,chert,4,Bidirectional,17.15098354412227,0,0.14400554127967466
MFA,SDG_L4_2001,Core_on_flake,chert,4,Levallois,6.533245520649507,0.9047619047619048,0.8868569837913616
MFA,SDG_L4_2001,Core_on_flake,chert,4,Discoid,18.56197288319301,0.2,0.09966197780159487
MFA,SDG_L4_2001,Core_on_flake,chert,4,Multiplatform,9.445044828933819,0.6,0.6645206800855082
MFA,SDG_L4_2004,Unifacial_centripetal,chert,4,Unidirectional,15.136820691232025,0.125,0.23403927173421002
MFA,SDG_L4_2004,Unifacial_centripetal,chert,4,Bidirectional,10.593723167236178,0.3333333333333333,0.5640193843881036
MFA,SDG_L4_2004,Unifacial_centripetal,chert,4,Levallois,24.295156012858737,0,0.018539671084397157
MFA,SDG_L4_2004,Unifacial_centripetal,chert,4,Discoid,17.707605957319373,0.2,0.1248613266870967
MFA,SDG_L4_2004,Unifacial_centripetal,chert,4,Multiplatform,21.319488600813546,0,0.045893266545648445
