order,cv_pct,cumul_pct,dataset,face_target,smooth_iters,setting
9,51.95809070126865,98.50588084577531,EXP,50000,3,f50000_s3
10,53.88760410350334,98.87017453479041,EXP,50000,3,f50000_s3
11,57.459873801680196,99.15108781218484,EXP,50000,3,f50000_s3
12,70.73186216673064,99.36022816766487,EXP,50000,3,f50000_s3
13,63.65501415375461,99.5106914368385,EXP,50000,3,f50000_s3
14,57.17983174624004,99.62872379024985,EXP,50000,3,f50000_s3
15,56.96200408344796,99.72908417332756,EXP,50000,3,f50000_s3
16,58.32892661740787,99.80554639812127,EXP,50000,3,f50000_s3
17,54.3335781659675,99.87053150960584,EXP,50000,3,f50000_s3
18,60.0446368262717,99.92260103015805,EXP,50000,3,f50000_s3
19,44.53218346748789,99.96535776662209,EXP,50000,3,f50000_s3
20,58.53052720989711,100,EXP,50000,3,f50000_s3
1,67.65273453926162,29.137337181167506,SDG,50000,3,f50000_s3
2,43.38129758584287,72.6443057984074,SDG,50000,3,f50000_s3
3,58.466963647095625,83.69042304543257,SDG,50000,3,f50000_s3
4,52.50812926308489,90.24734165760859,SDG,50000,3,f50000_s3
5,43.445535788352124,93.53486312418714,SDG,50000,3,f50000_s3
6,46.84384711267186,95.69430624551741,SDG,50000,3,f50000_s3
7,44.5373865912385,96.86636149135627,SDG,50000,3,f50000_s3
8,41.420155979686406,97.76150884862066,SDG,50000,3,f50000_s3
9,48.25618660617429,98.33032529422617,SDG,50000,3,f50000_s3
10,47.23380890640499,98.73744257232954,SDG,50000,3,f50000_s3
11,45.7440773917763,99.04476581038186,SDG,50000,3,f50000_s3
12,43.13317136460647,99.2659062412373,SDG,50000,3,f50000_s3
13,42.32262326796596,99.43782512128423,SDG,50000,3,f50000_s3
14,47.84688665503831,99.58202648847066,SDG,50000,3,f50000_s3
15,44.46240350239529,99.68719317426809,SDG,50000,3,f50000_s3
16,49.88180665839893,99.77744756195678,SDG,50000,3,f50000_s3
17,46.21976402739178,99.8491990024919,SDG,50000,3,f50000_s3
18,46.10079977178984,99.90880539636929,SDG,50000,3,f50000_s3
19,44.37044129432706,99.95893804491494,SDG,50000,3,f50000_s3
20,47.27395892046153,100,SDG,50000,3,f50000_s3
1,76.01600308983136,29.021108303102118,EXP,20000,0,f20000_s0
2,50.988492317996325,71.6289142584429,EXP,20000,0,f20000_s0
3,86.22518882282824,84.25962483176328,EXP,20000,0,f20000_s0
4,59.15834097186845,90.80374409933232,EXP,20000,0,f20000_s0
5,73.01096172775412,94.18248779077489,EXP,20000,0,f20000_s0
6,65.75213415977092,96.19777641738999,EXP,20000,0,f20000_s0
7,60.33708511423488,97.28863009133542,EXP,20000,0,f20000_s0
