version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat,1,4.435231882250289,0.09521972334939613,2.276574765983872,0.0904,restricted_within_rawmat
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,core_type,5,17.719090733366645,0.38041008056110653,1.8190180766510269,0.0495,restricted_within_rawmat
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,SDI,1,1.411058048334592,0.030293919361931675,0.724286628402195,0.5685,restricted_within_rawmat
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat:SDI,1,1.5832962832877335,0.033991691545627596,0.8126953587328803,0.4831,restricted_within_rawmat
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Residual,11,21.430243115107427,0.460084585181938,NA,NA,restricted_within_rawmat
C,"C raw SDI, common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Total,19,46.57892006234669,1,NA,NA,restricted_within_rawmat
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat,1,0.4946702117771745,0.12218540432208731,3.4820319386288046,0.004,free
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,core_type,5,1.7863162473020946,0.4412268370468136,2.5148109093738045,6e-4,free
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,SDI,1,0.10357488893459754,0.02558338743831561,0.7290737601007113,0.6416,free
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat:SDI,1,0.10125965793492009,0.025011516666517353,0.712776622949037,0.6539,free
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Residual,11,1.5627002926606375,0.3859928545262661,NA,NA,free
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Total,19,4.048521298609424,1,NA,NA,free
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat,1,0.4946702117771745,0.12218540432208731,3.4820319386288046,0.0019,restricted_within_rawmat
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,core_type,5,1.7863162473020946,0.4412268370468136,2.5148109093738045,5e-4,restricted_within_rawmat
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,SDI,1,0.10357488893459754,0.02558338743831561,0.7290737601007113,0.6031,restricted_within_rawmat
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat:SDI,1,0.10125965793492009,0.025011516666517353,0.712776622949037,0.5907,restricted_within_rawmat
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Residual,11,1.5627002926606375,0.3859928545262661,NA,NA,restricted_within_rawmat
C,"C raw SDI, common support",combined,D_comb (MFA-normalised join),20,9999,42,Total,19,4.048521298609424,1,NA,NA,restricted_within_rawmat
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat,1,3.308564385794572,0.1517056719294096,5.387873100997019,0.0041,free
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,core_type,5,11.074771901031411,0.5078050528272937,3.6069701941686567,0.0012,free
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,SDI,1,0.36846674952056624,0.016895090831438843,0.6000342918751737,0.6264,free
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat:SDI,1,0.30246070712067485,0.013868554289889323,0.4925459256591309,0.7107,free
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Residual,11,6.754837681126082,0.30972563012196846,NA,NA,free
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Total,19,21.809101424593308,1,NA,NA,free
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,Raw_mat,1,3.308564385794572,0.1517056719294096,5.387873100997019,0.0029,restricted_within_rawmat
D,"D log(SDI), common support",scar,"D_scar (SP-SPHARM, l = 1-6)",20,9999,42,core_type,5,11.074771901031411,0.5078050528272937,3.6069701941686567,0.0011,restricted_within_rawmat
