model,model_label,version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,SDI,1,0.1339258978659933,0.0305947942396404,1.577320276616099,0.1377,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer:SDI,1,0.10323407946599761,0.02358338058663765,1.2158455487261108,0.2688,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Residual,39,3.3113820282454793,0.7564709545900205,NA,NA,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Total,47,4.377408026247521,1,NA,NA,free
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer,1,0.0766908438886428,0.017519692801949076,0.9032310032925458,0.007,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,core_type,5,0.7521751767814071,0.1718311777817523,1.771757631360813,0.0074,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,SDI,1,0.1339258978659933,0.0305947942396404,1.577320276616099,0.1477,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer:SDI,1,0.10323407946599761,0.02358338058663765,1.2158455487261108,0.254,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Residual,39,3.3113820282454793,0.7564709545900205,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),B,"B log(SDI), full sample",combined,D_comb (MFA-normalised join),48,9999,42,Total,47,4.377408026247521,1,NA,NA,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Raw_mat,1,1.3351532336229754,0.017892555687826113,0.985338743973115,0.3813,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer,1,1.311162640446635,0.017571054744277587,0.9676337642357702,0.4083,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,core_type,5,17.20903193527786,0.23062039208788424,2.5400419195461734,0.0028,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,SDI,1,1.9876521639586642,0.02663677556706663,1.466880832379068,0.2124,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer:SDI,1,1.2868577900825393,0.017245342400800865,0.9496968637159493,0.4125,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Residual,38,51.490741826607184,0.6900338795121445,NA,NA,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Total,47,74.62059958999586,1,NA,NA,free
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Raw_mat,1,1.3351532336229754,0.017892555687826113,0.985338743973115,0.4121,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer,1,1.311162640446635,0.017571054744277587,0.9676337642357702,0.1625,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,core_type,5,17.20903193527786,0.23062039208788424,2.5400419195461734,0.0026,restricted_within_layer
M2,M2 raw material controlled,B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,SDI,1,1.9876521639586642,0.02663677556706663,1.466880832379068,0.2314,restricted_within_layer
