order,cv_pct,cumul_pct,dataset,h
6,62.95010700219574,99.91999901671863,EXP,0.35
7,78.89908905291149,99.98226391520313,EXP,0.35
8,78.96996628724064,99.99356189828653,EXP,0.35
9,121.35012267800047,99.99673235592279,EXP,0.35
10,209.32037070647112,99.99830154236798,EXP,0.35
11,147.73594411402377,99.99911732203135,EXP,0.35
12,208.7050142642277,99.99962166101585,EXP,0.35
13,135.2315979444819,99.99982044067744,EXP,0.35
14,197.5048585767945,99.99994120338967,EXP,0.35
15,129.7461429804204,99.99997147457618,EXP,0.35
16,177.6995118324678,99.99998764406777,EXP,0.35
17,128.77884807506274,99.99999218644065,EXP,0.35
18,144.3082663942749,99.9999941694915,EXP,0.35
19,198.33912374234416,99.99999772881355,EXP,0.35
20,190.31803357181693,100,EXP,0.35
1,38.00593569388189,45.046284606557194,SDG,0.35
2,43.802915385324006,77.79184456167499,SDG,0.35
3,48.58115962868833,92.25312307669489,SDG,0.35
4,57.79841236921557,98.13313171946584,SDG,0.35
5,63.87453690017153,99.62816574389961,SDG,0.35
6,67.01041422961087,99.93014965425337,SDG,0.35
7,70.41769339911217,99.98774376358513,SDG,0.35
8,76.52668150089367,99.99627774543899,SDG,0.35
9,133.6794618979849,99.99831134544749,SDG,0.35
10,220.42791326629293,99.99911478181448,SDG,0.35
11,234.05625880021975,99.99957552727096,SDG,0.35
12,242.62093343841227,99.99981090909013,SDG,0.35
13,256.3320791539072,99.9999232181815,SDG,0.35
14,238.43511711069235,99.99997276363626,SDG,0.35
15,277.23046676120345,99.99998923636359,SDG,0.35
16,234.93130585571458,99.99999438181817,SDG,0.35
17,177.11758575804743,99.99999625454545,SDG,0.35
18,203.20933253338512,99.9999971090909,SDG,0.35
19,174.79810622932703,99.9999988,SDG,0.35
20,235.37466849238734,100,SDG,0.35
1,32.66970862006019,48.926368066340835,EXP,0.4
2,46.37318923069964,76.85769513811212,EXP,0.4
3,56.77344219016868,93.3044034654975,EXP,0.4
4,61.578096760655654,98.9299658968542,EXP,0.4
5,75.38116116509646,99.85433847437876,EXP,0.4
6,71.4423354299036,99.97553384742446,EXP,0.4
7,111.91993481218432,99.9923867457524,EXP,0.4
8,114.79421331219808,99.99563364406188,EXP,0.4
9,172.38893281973532,99.99771193220029,EXP,0.4
10,189.28783872357656,99.99871106779487,EXP,0.4
11,173.55576441249622,99.9993762711856,EXP,0.4
12,177.8844584972494,99.99972401694878,EXP,0.4
13,153.56394975771806,99.99987352542357,EXP,0.4
14,163.61290845735707,99.99995947457622,EXP,0.4
15,120.1864983325058,99.99997842372879,EXP,0.4
16,147.2035245756101,99.99999022033897,EXP,0.4
17,116.2449538175537,99.99999372881355,EXP,0.4
