ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP43_Biface,Biface,19,0.0,0.34460069,0.46058323,0.13087354,0.05002093,0.01325181,0.00042883,0.00011545,5.115e-05,3.13e-05,2.112e-05,1.037e-05,6.96e-06,2.49e-06,1.55e-06,3.2e-07,1.7e-07,2e-08,2e-08,3e-08,4e-08
EXP44_Multiplatform,Multiplatform,14,0.0,0.30704618,0.404845,0.25158867,0.03030991,0.00549836,0.00066195,3.076e-05,9.93e-06,3.11e-06,3.32e-06,9.4e-07,1.2e-06,2.6e-07,3e-07,4e-08,4e-08,0.0,1e-08,0.0,1e-08
EXP45_Conical unidirectional,Unidirectional,19,0.0,0.56185353,0.32168917,0.09712011,0.01732697,0.00185307,0.00013501,1.778e-05,1.99e-06,1.35e-06,4e-07,3.5e-07,1.6e-07,3e-08,4e-08,0.0,1e-08,1e-08,0.0,1e-08,0.0
EXP46_Conical unidirectional,Unidirectional,19,0.0,0.60614151,0.30294409,0.0776892,0.01193841,0.00116752,9.576e-05,1.755e-05,1.98e-06,2.42e-06,5.6e-07,6e-07,2.3e-07,6e-08,7e-08,0.0,1e-08,1e-08,0.0,1e-08,0.0
EXP47_Conical bidirectional,Bidirectional,13,0.0,0.48811757,0.32047411,0.14184988,0.04583933,0.00322891,0.00045557,2.903e-05,2.84e-06,9.4e-07,8.7e-07,2.5e-07,4.5e-07,6e-08,1.5e-07,1e-08,2e-08,1e-08,0.0,0.0,0.0
EXP48_Multiplatform,Multiplatform,17,0.0,0.62212789,0.23665157,0.11799031,0.01975328,0.00296833,0.00041652,6.951e-05,3.01e-06,1.363e-05,6.6e-07,4.17e-06,2.2e-07,7.3e-07,5e-08,5e-08,1e-08,3e-08,0.0,4e-08,0.0
EXP49_Discoid,Discoid,12,0.0,0.53584156,0.24056948,0.17513607,0.03638293,0.01086493,0.00103396,7.861e-05,5.462e-05,6.63e-06,1.941e-05,2.23e-06,6.8e-06,6.1e-07,1.69e-06,1.4e-07,2.3e-07,4e-08,1e-08,2e-08,2e-08
EXP50_Multiplatform,Multiplatform,13,0.0,0.64233806,0.12209475,0.1888723,0.043296,0.00270166,0.00041239,0.00017647,1.15e-05,6.47e-05,3.79e-06,2.134e-05,1.32e-06,4.65e-06,3.5e-07,4.8e-07,6e-08,6e-08,1e-08,1e-07,0.0
EXP51_Conical unidirectional,Unidirectional,15,0.0,0.5737716,0.29802171,0.11230163,0.01426422,0.00148872,0.00013076,1.467e-05,1.47e-06,3.11e-06,7.6e-07,7.5e-07,3.4e-07,9e-08,1e-07,0.0,2e-08,2e-08,0.0,1e-08,0.0
EXP52_Levallois preferential,Levallois preferential,26,0.0,0.66546695,0.19539954,0.12110224,0.01634215,0.00135167,0.00028281,2.366e-05,1.1e-05,7.19e-06,4.99e-06,3.94e-06,1.47e-06,1.61e-06,2.5e-07,4.4e-07,1e-08,6e-08,1e-08,0.0,1e-08
EXP53_Levallois recurrent,Levallois recurrent,14,0.0,0.63059637,0.17621724,0.15794778,0.03145479,0.00342103,0.00029438,2.746e-05,2.216e-05,3.83e-06,9.34e-06,1.63e-06,2.72e-06,5.7e-07,4.6e-07,1.5e-07,2e-08,3e-08,1e-08,1e-08,2e-08
EXP54_Multiplatform,Multiplatform,10,0.0,0.54166706,0.1165255,0.30768312,0.03179748,0.00156335,0.00060817,9.985e-05,2.129e-05,1.496e-05,7.88e-06,5.43e-06,3.08e-06,1.47e-06,8.6e-07,2.7e-07,1.4e-07,4e-08,1e-08,2e-08,1e-08
EXP55_Multiplatform,Multiplatform,11,0.0,0.59163778,0.29001457,0.09059956,0.02432186,0.00308443,0.00026204,5.67e-05,6.53e-06,1.001e-05,2.14e-06,2.88e-06,7.6e-07,4.6e-07,1.9e-07,1e-08,2e-08,2e-08,0.0,3e-08,0.0
EXP56_Multiplatform,Multiplatform,15,0.0,0.50990017,0.31566682,0.15504231,0.01785983,0.00127056,0.00020296,3.428e-05,6.94e-06,8.7e-06,2.93e-06,2.59e-06,1.03e-06,5e-07,2.5e-07,4e-08,3e-08,1e-08,0.0,2e-08,0.0
EXP57_Conical bidirectional,Bidirectional,14,0.0,0.39962404,0.37789177,0.18271281,0.03600022,0.00339823,0.00032857,2.511e-05,9.27e-06,3.52e-06,3.42e-06,1.15e-06,1.19e-06,3.1e-07,2.8e-07,5e-08,3e-08,0.0,0.0,0.0,1e-08
EXP58_Conical unidirectional,Unidirectional,16,0.0,0.61538598,0.17697672,0.15748066,0.04600022,0.00389351,0.00018593,4.937e-05,3.88e-06,1.496e-05,1.55e-06,5.1e-06,4.7e-07,1.27e-06,1e-07,2e-07,1e-08,4e-08,0.0,3e-08,0.0
EXP59_Subconical unidirectional,Unidirectional,26,0.0,0.47590535,0.31903038,0.16956054,0.0315332,0.00358177,0.00033205,3.784e-05,6.21e-06,5.25e-06,2.95e-06,1.69e-06,1.62e-06,3.8e-07,5.8e-07,5e-08,1.1e-07,1e-08,1e-08,1e-08,0.0
IM_Levallois_convergent,Levallois_convergent,24,0.0,0.40732806,0.54967176,0.02288096,0.01448426,0.00501379,0.00041984,0.00015244,1.573e-05,4.37e-06,1.308e-05,2.86e-06,7.81e-06,1.15e-06,2.9e-06,3.2e-07,5.8e-07,5e-08,3e-08,1e-08,2e-08
IM_Levallois_laminar,Levallois_laminar,25,0.0,0.35547948,0.57454943,0.04495319,0.01779937,0.00649828,0.00055001,0.00013281,1.282e-05,1.83e-06,1.038e-05,1.69e-06,6.56e-06,8.2e-07,2.5e-06,2.6e-07,5e-07,4e-08,2e-08,0.0,1e-08
IM_Levallois_preferential,Levallois_preferential,24,0.0,0.39046902,0.58133686,0.01028606,0.01192131,0.00527854,0.00051628,0.00014686,1.203e-05,1.95e-06,1.438e-05,2e-06,9.09e-06,9.9e-07,3.49e-06,3.2e-07,7.1e-07,5e-08,3e-08,0.0,2e-08
